Study,Year,Citation,doi,Study Number,City,Province_State,Country,Location,Genus,Species,Common Name,Sub-common name,Water (Fresh/Salt/Anadromous/Estuarine),LS,Lifestage,Group,Concentration,Duration,SEV_old,SEV,Response,Habitat_Related,Database,Comments
Servizi and Martens,1992,"Servizi, J. A., and D. W. Martens. 1992. Sublethal responses of coho salmon (Oncorhynchus kisutch) to suspended sediments. Canadian Journal of Fisheries and Aquatic Sciences 49:1389-1395. Cited by Newcombe and Jensen (1996).",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,kisutch,Salmon,Coho,,Underyearling,U,JS,20,0.05,1,1,Cough frequency not increased,No,Old,
Berg and Northcote,1985,"Berg. L.. and T. G. Northcote. 1985. Changes in territorial, gill-flaring, and feeding behaviour in juvenile coho salmon (Oncorhynchus kisutch) following short-term pulses of suspended sediment. Canadian Journal of Fisheries and Aquatic Sciences 42:1410-1477. Cited by Newcombe and Jensen (1996).",,1,Langley,British Columbia,Canada,Salmon River,Oncorhynchus,kisutch,Salmon,Coho,,Juvenile,J,JS,53.5,12,3,3,Changes in territorial behaviour,No,Old,
Bisson and Bilby,1982,"Bisson, P. A., and R. E. Bilby. 1982. Avoidance of suspended sediment by juvenile coho salmon. North American Journal of Fisheries Management 2:371-374. Cited by Newcombe and Jensen (1996).",,1,NA,Washington,USA,Deschutes River,Oncorhynchus,kisutch,Salmon,Coho,,Juvenile,J,JS,88,0.08,3,3,Avoidance behaviour,No,Old,
Noggle,1978,"Noggle. C. C. 1978. Behavioral, physiological and lethal effects of suspended sediment on juvenile salmonids. Master's thesis. University of Washington. Seattle. Cited by Newcombe and Jensen (1996).",,1,Seattle,Washington,USA,NA,Oncorhynchus,kisutch,Salmon,Coho,,Juvenile,J,JS,6000,1,3,3,Avoidance behaviour,No,Old,
Servizi and Martens,1992,"Servizi, J. A., and D. W. Martens. 1992. Sublethal responses of coho salmon (Oncorhynchus kisutch) to suspended sediments. Canadian Journal of Fisheries and Aquatic Sciences 49:1389-1395. Cited by Newcombe and Jensen (1996).",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,kisutch,Salmon,Coho,,Underyearling,U,JS,300,0.17,3,3,Avoidance behaviour within minutes,No,Old,
Noggle,1978,"Noggle. C. C. 1978. Behavioral, physiological and lethal effects of suspended sediment on juvenile salmonids. Master's thesis. University of Washington. Seattle. Cited by Newcombe and Jensen (1996).",,1,Seattle,Washington,USA,NA,Oncorhynchus,kisutch,Salmon,Coho,,Juvenile,J,JS,25,1,4,4,Feeding rate decreased,No,Old,
Noggle,1978,"Noggle. C. C. 1978. Behavioral, physiological and lethal effects of suspended sediment on juvenile salmonids. Master's thesis. University of Washington. Seattle. Cited by Newcombe and Jensen (1996).",,1,Seattle,Washington,USA,NA,Oncorhynchus,kisutch,Salmon,Coho,,Juvenile,J,JS,100,1,4,4,Feeding rate decreased to 55% of maximum,No,Old,
Noggle,1978,"Noggle. C. C. 1978. Behavioral, physiological and lethal effects of suspended sediment on juvenile salmonids. Master's thesis. University of Washington. Seattle. Cited by Newcombe and Jensen (1996).",,1,Seattle,Washington,USA,NA,Oncorhynchus,kisutch,Salmon,Coho,,Juvenile,J,JS,250,1,4,4,Feeding rate decreased to 10% of maximum,No,Old,
Noggle,1978,"Noggle. C. C. 1978. Behavioral, physiological and lethal effects of suspended sediment on juvenile salmonids. Master's thesis. University of Washington. Seattle. Cited by Newcombe and Jensen (1996).",,1,Seattle,Washington,USA,NA,Oncorhynchus,kisutch,Salmon,Coho,,Juvenile,J,JS,300,1,4,4,Feeding ceased,No,Old,
Servizi and Martens,1992,"Servizi, J. A., and D. W. Martens. 1992. Sublethal responses of coho salmon (Oncorhynchus kisutch) to suspended sediments. Canadian Journal of Fisheries and Aquatic Sciences 49:1389-1395. Cited by Newcombe and Jensen (1996).",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,kisutch,Salmon,Coho,,Underyearling,U,JS,2460,0.05,5,5,Coughing behaviour manifest within minutes,No,Old,
Berg and Northcote,1985,"Berg. L.. and T. G. Northcote. 1985. Changes in territorial, gill-flaring, and feeding behaviour in juvenile coho salmon (Oncorhynchus kisutch) following short-term pulses of suspended sediment. Canadian Journal of Fisheries and Aquatic Sciences 42:1410-1477. Cited by Newcombe and Jensen (1996).",,1,Langley,British Columbia,Canada,Salmon River,Oncorhynchus,kisutch,Salmon,Coho,,Juvenile,J,JS,53.5,12,6,6,Increased physiological stress,No,Old,
Servizi and Martens,1992,"Servizi, J. A., and D. W. Martens. 1992. Sublethal responses of coho salmon (Oncorhynchus kisutch) to suspended sediments. Canadian Journal of Fisheries and Aquatic Sciences 49:1389-1395. Cited by Newcombe and Jensen (1996).",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,kisutch,Salmon,Coho,,Underyearling,U,JS,2460,1,6,5,Cough frequency greatly increased,No,Old,Grouped all cough observations into less severe minor physiological category.
Servizi and Martens,1992,"Servizi, J. A., and D. W. Martens. 1992. Sublethal responses of coho salmon (Oncorhynchus kisutch) to suspended sediments. Canadian Journal of Fisheries and Aquatic Sciences 49:1389-1395. Cited by Newcombe and Jensen (1996).",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,kisutch,Salmon,Coho,,Underyearling,U,JS,240,24,6,5,Cough frequency increased more than 5-fold,No,Old,Grouped all cough observations into less severe minor physiological category.
Servizi and Martens,1992,"Servizi, J. A., and D. W. Martens. 1992. Sublethal responses of coho salmon (Oncorhynchus kisutch) to suspended sediments. Canadian Journal of Fisheries and Aquatic Sciences 49:1389-1395. Cited by Newcombe and Jensen (1996).",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,kisutch,Salmon,Coho,,Underyearling,U,JS,530,96,6,6,Blood glucose levels increased,No,Old,
Noggle,1978,"Noggle. C. C. 1978. Behavioral, physiological and lethal effects of suspended sediment on juvenile salmonids. Master's thesis. University of Washington. Seattle. Cited by Newcombe and Jensen (1996).",,1,Seattle,Washington,USA,NA,Oncorhynchus,kisutch,Salmon,Coho,,Juvenile,J,JS,1547,96,8,8,Gill damage,No,Old,
Servizi and Martens,1992,"Servizi, J. A., and D. W. Martens. 1992. Sublethal responses of coho salmon (Oncorhynchus kisutch) to suspended sediments. Canadian Journal of Fisheries and Aquatic Sciences 49:1389-1395. Cited by Newcombe and Jensen (1996).",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,kisutch,Salmon,Coho,,Underyearling,U,JS,2460,24,8,8,Fatigue of the cough reflex,No,Old,
Servizi and Martens,1992,"Servizi, J. A., and D. W. Martens. 1992. Sublethal responses of coho salmon (Oncorhynchus kisutch) to suspended sediments. Canadian Journal of Fisheries and Aquatic Sciences 49:1389-1395. Cited by Newcombe and Jensen (1996).",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,kisutch,Salmon,Coho,,Underyearling,U,JS,3000,48,8,8,High level sublethal stress; avoidance,No,Old,
Sigler,1984,"Sigler. J. W., T. C. Bjornn, and F H. Everest. 1984. Effects of chronic turbidity on density and growth of steelheads and coho salmon. Transactions of the American Fisheries Society 113:142-150. Cited by Newcombe and Jensen (1996).",,1,Moscow,Idaho,USA,NA,Oncorhynchus,kisutch,Salmon,Coho,,Juvenile,J,JS,102,336,9,9,Growth rate reduced,No,Old,
Servizi and Martens,1991,"Servizi. J. A., and D. W. Martens. 1991. Effect of temperature, season, and fish size on acute lethality of suspended sediments to coho salmon (Oncorhynchus kisutch). Canadian Journal of Fisheries and Aquatic Sciences 48:493-497. Cited by Newcombe and Jensen (1996).",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,kisutch,Salmon,Coho,,Underyearling,U,JS,8000,96,10,10,Mortality rate 1%,No,Old,
Noggle,1978,"Noggle. C. C. 1978. Behavioral, physiological and lethal effects of suspended sediment on juvenile salmonids. Master's thesis. University of Washington. Seattle. Cited by Newcombe and Jensen (1996).",,1,Seattle,Washington,USA,NA,Oncorhynchus,kisutch,Salmon,Coho,,Juvenile,J,JS,1200,96,12,12,Mortality rate 50%,No,Old,
Noggle,1978,"Noggle. C. C. 1978. Behavioral, physiological and lethal effects of suspended sediment on juvenile salmonids. Master's thesis. University of Washington. Seattle. Cited by Newcombe and Jensen (1996).",,1,Seattle,Washington,USA,NA,Oncorhynchus,kisutch,Salmon,Coho,,Juvenile,J,JS,35000,96,12,12,Mortality rate 50%,No,Old,
Servizi and Martens,1991,"Servizi. J. A., and D. W. Martens. 1991. Effect of temperature, season, and fish size on acute lethality of suspended sediments to coho salmon (Oncorhynchus kisutch). Canadian Journal of Fisheries and Aquatic Sciences 48:493-497. Cited by Newcombe and Jensen (1996).",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,kisutch,Salmon,Coho,,Underyearling,U,JS,22700,96,12,12,Mortality rate 50%,No,Old,
Servizi and Martens,1991,"Servizi. J. A., and D. W. Martens. 1991. Effect of temperature, season, and fish size on acute lethality of suspended sediments to coho salmon (Oncorhynchus kisutch). Canadian Journal of Fisheries and Aquatic Sciences 48:493-497. Cited by Newcombe and Jensen (1996).",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,kisutch,Salmon,Coho,,Fry,F,JS,8100,96,12,12,Mortality rate 50%,No,Old,
Stober,1981,"Stober. Q. J., and five coauthors. 1981. Effects of suspended volcanic sediment on coho and chinook salmon in the Toutle and Cowlitz rivers. University of Washington. Fisheries Research Institute, Technical Completion Report FRI-UW-8124. Seattle. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,Cowlitz and Toutic Rivers,Oncorhynchus,kisutch,Salmon,Coho,,Presmolt,PS,JS,18672,96,12,12,Mortality rate 50%,No,Old,
Stober,1981,"Stober. Q. J., and five coauthors. 1981. Effects of suspended volcanic sediment on coho and chinook salmon in the Toutle and Cowlitz rivers. University of Washington. Fisheries Research Institute, Technical Completion Report FRI-UW-8124. Seattle. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,Cowlitz and Toutic Rivers,Oncorhynchus,kisutch,Salmon,Coho,,Smolt,S,JS,509,96,12,12,Mortality rate 50%,No,Old,
Stober,1981,"Stober. Q. J., and five coauthors. 1981. Effects of suspended volcanic sediment on coho and chinook salmon in the Toutle and Cowlitz rivers. University of Washington. Fisheries Research Institute, Technical Completion Report FRI-UW-8124. Seattle. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,Cowlitz and Toutic Rivers,Oncorhynchus,kisutch,Salmon,Coho,,Smolt,S,JS,1217,96,12,12,Mortality rate 50%,No,Old,
Stober,1981,"Stober. Q. J., and five coauthors. 1981. Effects of suspended volcanic sediment on coho and chinook salmon in the Toutle and Cowlitz rivers. University of Washington. Fisheries Research Institute, Technical Completion Report FRI-UW-8124. Seattle. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,Cowlitz and Toutic Rivers,Oncorhynchus,kisutch,Salmon,Coho,,Smolt,S,JS,28184,96,12,12,Mortality rate 50%,No,Old,
Stober,1981,"Stober. Q. J., and five coauthors. 1981. Effects of suspended volcanic sediment on coho and chinook salmon in the Toutle and Cowlitz rivers. University of Washington. Fisheries Research Institute, Technical Completion Report FRI-UW-8124. Seattle. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,Cowlitz and Toutic Rivers,Oncorhynchus,kisutch,Salmon,Coho,,Smolt,S,JS,29580,96,12,12,Mortality rate 50%,No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96:254-264. Cited by Newcombe and Jensen (1996)",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Smolt,S,JS,1261,96,8,8,Body moisture content reduced,No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96:254-264. Cited by Newcombe and Jensen (1996)",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Smolt,S,JS,7447,96,8,8,Plasma chloride levels increased slightly,No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96:254-264. Cited by Newcombe and Jensen (1996)",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Underyearling,U,JS,1465,96,8,8,Hypertrophy and necrosis of gill tissue,No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96:254-264. Cited by Newcombe and Jensen (1996)",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Underyearling,U,JS,3143,96,8,8,Hypertrophy and necrosis of gill tissue,No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96:254-264. Cited by Newcombe and Jensen (1996)",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Underyearling,U,JS,9851,96,8,8,Hypertrophy and necrosis of gill tissue,No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96:254-264. Cited by Newcombe and Jensen (1996)",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Underyearling,U,JS,17560,96,8,8,Hypertrophy and necrosis of gill tissue,No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96:254-264. Cited by Newcombe and Jensen (1996)",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Underyearling,U,JS,23790,96,8,8,Hypertrophy and necrosis of gill tissue,No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96:254-264. Cited by Newcombe and Jensen (1996)",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Underyearling,U,JS,2688,96,8,8,Hypertrophy and necrosis of gill tissue,No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96:254-264. Cited by Newcombe and Jensen (1996)",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Underyearling,U,JS,2100,96,10,10,No fish died,No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96:254-264. Cited by Newcombe and Jensen (1996)",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Underyearling,U,JS,9000,96,10,10,No mortality,No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96:254-264. Cited by Newcombe and Jensen (1996)",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Underyearling,U,JS,13900,96,10,10,Mortality rate 10%,No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96:254-264. Cited by Newcombe and Jensen (1996)",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Underyearling,U,JS,9850,96,10,10,"Gill hyperplasia, hypertrophy, separation, necrosis",No,Old,
Newcomb and Flagg,1983,"Newcomb, T. W., and T A. Flagg. 1983. Some effects of Mt. St. Helens ash on juvenile salmon smolts. U.S. National Marine Fisheries Service Marine Fisheries Review 45(2):8-12. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Juvenile,J,JS,1400,36,12,12,Mortality rate 50%,No,Old,
Newcomb and Flagg,1983,"Newcomb, T. W., and T A. Flagg. 1983. Some effects of Mt. St. Helens ash on juvenile salmon smolts. U.S. National Marine Fisheries Service Marine Fisheries Review 45(2):8-12. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Juvenile,J,JS,9400,36,12,12,Mortality rate 50%,No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96:254-264. Cited by Newcombe and Jensen (1996)",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Underyearling,U,JS,1700,96,12,12,Mortality rate 50%,No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96:254-264. Cited by Newcombe and Jensen (1996)",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Underyearling,U,JS,4850,96,12,12,Mortality rate 50%,No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96:254-264. Cited by Newcombe and Jensen (1996)",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Underyearling,U,JS,8200,96,12,12,Mortality rate 50%,No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96:254-264. Cited by Newcombe and Jensen (1996)",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Underyearling,U,JS,17560,96,12,12,Mortality rate 50%,No,Old,
Newcomb and Flagg,1983,"Newcomb, T. W., and T A. Flagg. 1983. Some effects of Mt. St. Helens ash on juvenile salmon smolts. U.S. National Marine Fisheries Service Marine Fisheries Review 45(2):8-12. Cited by Newcombe and Jensen (1996).",,1,Mount St. Helens,Washington,USA,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Juvenile,J,JS,39400,36,14,14,Mortality rate 90%,No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96:254-264. Cited by Newcombe and Jensen (1996)",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Underyearling,U,JS,13000,96,14,14,Mortality rate 90%,No,Old,
Servizi and Martens,1987,"Servizi, J. A., and D. W. Martens. 1987. Some effects of suspended Fraser River sediments on sockeye salmon (Oncorhynchus nerka). Canadian Special Publication of Fisheries and Aquatic Sciences 96:254-264. Cited by Newcombe and Jensen (1996)",,1,Mission,British Columbia,Canada,NA,Oncorhynchus,nerka,Salmon,Sockeye,,Underyearling,U,JS,23900,96,14,14,Mortality rate 90%,No,Old,
Sigler,1984,"Sigler. J. W., T. C. Bjornn, and F H. Everest. 1984. Effects of chronic turbidity on density and growth of steelheads and coho salmon. Transactions of the American Fisheries Society 113:142-150. Cited by Newcombe and Jensen (1996).",,1,Moscow,Idaho,USA,NA,Oncorhynchus,mykiss,Salmon,Steelhead,,Juvenile,J,JS,102,336,9,9,Growth rate reduced,No,Old,
Sykora,1972,"Sykora, J. L.. E. J. Smith, and M. Synak. 1972. Effect of lime-neutralized iron hydroxide suspensions on juvenile brook trout (Salvelinus fontinalis Mitchill). Water Research 6:935-950. Cited by Newcombe and Jensen (1996).",,1,Bellefonte,Pennsylvania,USA,Benner Spring Fish Research Station,Salvelinus,fontinalis,Trout,Brook,,Young Fry,FF,JS,12,5880,9,9,Growth rates declined,No,Old,
Sykora,1972,"Sykora, J. L.. E. J. Smith, and M. Synak. 1972. Effect of lime-neutralized iron hydroxide suspensions on juvenile brook trout (Salvelinus fontinalis Mitchill). Water Research 6:935-950. Cited by Newcombe and Jensen (1996).",,1,Bellefonte,Pennsylvania,USA,Benner Spring Fish Research Station,Salvelinus,fontinalis,Trout,Brook,,Young Fry,FF,JS,24,5208,9,9,Growth rate reduced,No,Old,
Sykora,1972,"Sykora, J. L.. E. J. Smith, and M. Synak. 1972. Effect of lime-neutralized iron hydroxide suspensions on juvenile brook trout (Salvelinus fontinalis Mitchill). Water Research 6:935-950. Cited by Newcombe and Jensen (1996).",,1,Bellefonte,Pennsylvania,USA,Benner Spring Fish Research Station,Salvelinus,fontinalis,Trout,Brook,,Young Fry,FF,JS,100,1176,9,9,Test fish weighed 16% of controls,No,Old,
Sykora,1972,"Sykora, J. L.. E. J. Smith, and M. Synak. 1972. Effect of lime-neutralized iron hydroxide suspensions on juvenile brook trout (Salvelinus fontinalis Mitchill). Water Research 6:935-950. Cited by Newcombe and Jensen (1996).",,1,Bellefonte,Pennsylvania,USA,Benner Spring Fish Research Station,Salvelinus,fontinalis,Trout,Brook,,Young Fry,FF,JS,50,1848,9,9,Growth rates declined,No,Old,
Campbell,1954,"Campbell, H. J. 1954. The effect of siltation from gold dredging on the survival of rainbow trout and eyed eggs in Powder River. Oregon. Bulletin of the Oregon State Game Commission. Portland. Cited by Newcombe and Jensen (1996).",,1,NA,Oregon,USA,NA,Oncorhynchus,mykiss,Trout,Rainbow,,Young Fry,FF,JS,1750,480,12,12,Mortality rate 57%,No,Old,
Goldes,1983,"Goldes, S. A. 1983. Histological and ultrastructural effects of the inert clay kaolin on the gills of rainbow trout (Salmo gairdneri Richardson). Master's thesis. University of Guelph. Guelph, Ontario. Cited by Newcombe and Jensen (1996).",,1,Guelph,Ontario,Canada,Spring Valley Trout Farms,Oncorhynchus,mykiss,Trout,Rainbow,,Juvenile,J,JS,4887,384,8,8,Hyperplasia of gill tissue,No,Old,
Goldes,1983,"Goldes, S. A. 1983. Histological and ultrastructural effects of the inert clay kaolin on the gills of rainbow trout (Salmo gairdneri Richardson). Master's thesis. University of Guelph. Guelph, Ontario. Cited by Newcombe and Jensen (1996).",,1,Guelph,Ontario,Canada,Spring Valley Trout Farms,Oncorhynchus,mykiss,Trout,Rainbow,,Juvenile,J,JS,4887,384,8,8,Parasitic infection of gill tissue,No,Old,
Goldes,1983,"Goldes, S. A. 1983. Histological and ultrastructural effects of the inert clay kaolin on the gills of rainbow trout (Salmo gairdneri Richardson). Master's thesis. University of Guelph. Guelph, Ontario. Cited by Newcombe and Jensen (1996).",,1,Guelph,Ontario,Canada,Spring Valley Trout Farms,Oncorhynchus,mykiss,Trout,Rainbow,,Juvenile,J,JS,171,96,8,8,Particles penetrated cells of branchial epithelium,No,Old,
Herbert and Merkens,1961,"Herbert, D. M. W., and J. C. Merkens. 1961. The effect of suspended mineral solids on the survival of trout. International Journal of Air and Water Pollution 5: 46-55. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Oncorhynchus,mykiss,Trout,Rainbow,,Yearling,Y,JS,90,456,10,10,Mortality rates 0-20%,No,Old,
Herbert and Merkens,1961,"Herbert, D. M. W., and J. C. Merkens. 1961. The effect of suspended mineral solids on the survival of trout. International Journal of Air and Water Pollution 5: 46-55. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Oncorhynchus,mykiss,Trout,Rainbow,,Yearling,Y,JS,90,456,10,10,Mortality rates 0-15%,No,Old,
Herbert and Merkens,1961,"Herbert, D. M. W., and J. C. Merkens. 1961. The effect of suspended mineral solids on the survival of trout. International Journal of Air and Water Pollution 5: 46-55. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Oncorhynchus,mykiss,Trout,Rainbow,,Yearling,Y,JS,270,456,11,11,Mortality rates 10-35%,No,Old,
Herbert and Merkens,1961,"Herbert, D. M. W., and J. C. Merkens. 1961. The effect of suspended mineral solids on the survival of trout. International Journal of Air and Water Pollution 5: 46-55. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Oncorhynchus,mykiss,Trout,Rainbow,,Yearling,Y,JS,810,456,12,12,Mortality rates 35-85%,No,Old,
Herbert and Merkens,1961,"Herbert, D. M. W., and J. C. Merkens. 1961. The effect of suspended mineral solids on the survival of trout. International Journal of Air and Water Pollution 5: 46-55. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Oncorhynchus,mykiss,Trout,Rainbow,,Yearling,Y,JS,810,456,12,12,Mortality rates 5-80%,No,Old,
Herbert and Merkens,1961,"Herbert, D. M. W., and J. C. Merkens. 1961. The effect of suspended mineral solids on the survival of trout. International Journal of Air and Water Pollution 5: 46-55. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Oncorhynchus,mykiss,Trout,Rainbow,,Yearling,Y,JS,270,456,12,12,Mortality rates 25-80%,No,Old,
Herbert and Wakeford,1962,"Herbert, D. W. M., and A. C. Wakeford. 1962. The effect of calcium sulphate on the survival of rainbow trout. Water and Waste Treatment 8:608-609. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Oncorhynchus,mykiss,Trout,Rainbow,,Yearling,Y,JS,7433,672,11,11,Mortality rate 40%,No,Old,
Herbert and Wakeford,1962,"Herbert, D. W. M., and A. C. Wakeford. 1962. The effect of calcium sulphate on the survival of rainbow trout. Water and Waste Treatment 8:608-609. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Oncorhynchus,mykiss,Trout,Rainbow,,Yearling,Y,JS,4250,672,12,12,Mortality rate 50%,No,Old,
Herbert and Wakeford,1962,"Herbert, D. W. M., and A. C. Wakeford. 1962. The effect of calcium sulphate on the survival of rainbow trout. Water and Waste Treatment 8:608-609. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Oncorhynchus,mykiss,Trout,Rainbow,,Yearling,Y,JS,2120,672,14,14,Mortality rate 100%,No,Old,
Newcombe,1995,"Newcombe, C. P., B. Shepherd. G. Hoyer. and M. Ladd. 1995. Documentation of a fish kill (juvenile rainbow trout: Oncorhynchus mykiss) in Bellevue Creek (near Mission. Kelowna, British Columbia, Canada), caused by silty water discharge. British Columbia Ministry of Environment, Lands and Parks, Habitat Protection Branch. Habitat Protection Occasional Report. Victoria. Cited by Newcombe and Jensen (1996).",,1,Kelowna,British Columbia,Canada,Bellevue Creek,Oncorhynchus,mykiss,Trout,Rainbow,,Juvenile,J,JS,4315,57,14,14,Mortality rate 100%,No,Old,
LaPerriere,,"Personal Communications, cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Thymallus,arcticus,Grayling,Arctic,,Sac Fry,SF,SEL,25,24,10,10,,No,Old,
LaPerriere,,"Personal Communications, cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Thymallus,arcticus,Grayling,Arctic,,Sac Fry,SF,SEL,22.5,48,10,10,,No,Old,
