Study,Year,Citation,doi,Study Number,City,Province_State,Country,Location,Genus,Species,Common Name,Sub-common name,Water (Fresh/Salt/Anadromous/Estuarine),LS,Lifestage,Group,Concentration,Duration,SEV_old,SEV,Response,Habitat_Related,Database,Comments
Peters,1967,"Peters, J. C. 1967. Effects on a trout stream of sediment from agricultural practices. Journal of Wildlife Management 31:805-812. Cited by Newcombe and Jensen (1996).",,1,Fromberg,Montana,USA,Bluewater Creek,Oncorhynchus,mykiss,Trout,Rainbow,,Adult,A,AS,18,720,10,10,Abundance reduced,No,Old,
Slaney,1977,"Slaney, P. A., T. G. Halsey. and H. A. Smith. 1977a. Some effects of forest harvesting on salmonid rearing habitat in two streams in the central interior of British Columbia. British Columbia Ministry of Recreation and Conservation, Fish and Wildlife. Cited by Newcombe and Jensen (1996).",,1,NA,British Columbia,Canada,NA,Oncorhynchus,mykiss,Trout,Rainbow,,Adult,A,AS,59,2232,10,10,Habitat damage; reduced porosity of gravel,Yes,Old,Habitat related
Herbert and Wakeford,1962,"Herbert, D. W. M., and A. C. Wakeford. 1962. The effect of calcium sulphate on the survival of rainbow trout. Water and Waste Treatment 8:608-609. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Oncorhynchus,mykiss,Trout,Rainbow,,Adult,A,AS,4250,588,12,12,Mortality rate 50%,No,Old,
Lawrence and Scherer,1974,"Lawrence, M.. and E. Scherer. 1974. Behavioral responses of whitefish and rainbow trout to drilling fluids. Canada Fisheries and Marine Service Technical Report 502. Cited by Newcombe and Jensen (1996).",,1,NA,Manitoba,Canada,Dauphin River Hatchery,Oncorhynchus,mykiss,Trout,Rainbow,,Adult,A,AS,49838,96,12,12,Mortality rate 50%,No,Old,
Hertert and Merkens,1961,"Herbert, D. M. W., and J. C. Merkens. 1961. The effect of suspended mineral solids on the survival of trout. International Journal of Air and Water Pollution 5: 46-55. Cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Oncorhynchus,mykiss,Trout,Rainbow,,Adult,A,AS,3500,1488,13,13,Catastrophic reduction in population size,No,Old,
Herbert,1980,"Personal Communications, cited by Newcombe and Jensen (1996).",,1,NA,NA,NA,NA,Oncorhynchus,mykiss,Trout,Rainbow,,Adult,A,AS,160000,24,14,14,Mortality rate 100%,No,Old,
Hamilton,1961,Hamilton. J. D. 1961. The effect of sand-pit washings on a stream fauna. Internationale Vereinigung fiir theoretische und angewandte Limnologie Verhandlungen 14:435-439. Cited by Newcombe and Jensen (1996).,,1,Glasgow,NA,Scotland,Loch Lomond,Salmo,trutta,Trout,Sea,A,Adult,A,AS,210,24,10,4,Fish abandoned their traditional spawning habitat,No,Old,"Old analysis category 10: ""Fish abandoned traditional spawning habitat"""
Lawrence and Scherer,1974,"Lawrence, M.. and E. Scherer. 1974. Behavioral responses of whitefish and rainbow trout to drilling fluids. Canada Fisheries and Marine Service Technical Report 502. Cited by Newcombe and Jensen (1996).",,1,NA,Manitoba,Canada,Dauphin River Hatchery,Coregonus,clupeaformis,Whitefish,Lake,,Adult,A,AS,0.66,1,3,3,Swimming behaviour changed,No,Old,
Lawrence and Scherer,1974,"Lawrence, M.. and E. Scherer. 1974. Behavioral responses of whitefish and rainbow trout to drilling fluids. Canada Fisheries and Marine Service Technical Report 502. Cited by Newcombe and Jensen (1996).",,1,NA,Manitoba,Canada,Dauphin River Hatchery,Coregonus,clupeaformis,Whitefish,Lake,,Adult,A,AS,16613,96,12,12,Mortality rate 50%,No,Old,
Langer,1980,"Langer, O. E. 1980. Effects of sedimentation on salmonid stream life. Environment Canada. Environmental Protection Service, unpublished report. North Vancouver, British Columbia. Cited by Newcombe and Jensen (1996).",,1,North Vancouver,British Columbia,Canada,NA,Prosopium,williamsoni,Whitefish,Mountain,,Adult,A,AS,10000,24,10,10,Fish died; silt-clogged gills,No,Old,
Birtwell,1984,"Birtwell. I. K., G. F. Hartman. B. Anderson. D. J. McLeay, and J. G. Malick. 1984. A brief investigation of Arctic grayling (Thymallus arcticus) and aquatic invertebrates in the Minto Creek drainage. Cited by Newcombe and Jensen (1996).",,1,Mayo,Yukon,Canada,Minto Creek,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,20,24,3,3,Fish avoided parts of the stream,No,Old,
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,10000,96,3,3,Fish swam near the surface,No,Old,
Scannell,1988,Scanned. P. A. 1988. Effects of elevated sediments levels from placer mining on survival and behavior of immature Arctic grayling. Master's thesis. University of Alaska. Fairbanks. Cited by Newcombe and Jensen (1996).,,1,Fairbanks,Alaska,USA,NA,Thymallus,arcticus,Grayling,Arctic,,Juvenile,J,JS,86,0.42,3,3,78% of fish avoided turbid water,No,Old,
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,100,1,4,4,Catch rate reduced,No,Old,
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,100,1,4,4,Catch rate reduced,No,Old,
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,300,1,4,4,Catch rate reduced,No,Old,
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,1000,1,4,4,Feeding rate reduced,No,Old,
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,1000,1,4,4,Feeding rate reduced,No,Old,
Simmons,1982,"Simmons, R. C. 1982. Effects of placer mining on Arctic grayling of interior Alaska. Master's thesis. University of Alaska. Fairbanks. Cited by Newcombe and Jensen (1996).",,1,Fairbanks,Alaska,USA,NA,Thymallus,arcticus,Grayling,Arctic,,Young of the Year,YY,JS,3810,144,4,4,Food intake severely limited,No,Old,
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,100,12,6,6,Reduced ability to tolerate high temperatures,No,Old,
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,100,756,7,4,Fish moved out of the test channel,No,Old,"Old category 7: ""Fish moved out of the test channel"""
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,1000,1008,8,8,Fish had frequent misstrikes while feeding,No,Old,
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,1000,1008,8,8,Fish responded very slowly to prey,No,Old,
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,300,1008,8,8,Rate of feeding reduced,No,Old,
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,1000,840,8,8,Rate of feeding reduced,No,Old,
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,1000,1008,8,8,Fish failed to consume all prey,No,Old,
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,300,840,8,8,Serious impairment of feeding behaviour,No,Old,
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,300,1008,8,8,Respiration rate increased,No,Old,
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,300,1008,8,8,Fish less tolerant of pentachlorophenol,No,Old,
Simmons,1982,"Simmons, R. C. 1982. Effects of placer mining on Arctic grayling of interior Alaska. Master's thesis. University of Alaska. Fairbanks. Cited by Newcombe and Jensen (1996).",,1,Fairbanks,Alaska,USA,NA,Thymallus,arcticus,Grayling,Arctic,,Young of the Year,YY,JS,3810,144,8,8,Mucus and sediment accumulated in the gill lamellae,No,Old,
Simmons,1982,"Simmons, R. C. 1982. Effects of placer mining on Arctic grayling of interior Alaska. Master's thesis. University of Alaska. Fairbanks. Cited by Newcombe and Jensen (1996).",,1,Fairbanks,Alaska,USA,NA,Thymallus,arcticus,Grayling,Arctic,,Young of the Year,YY,JS,3810,144,8,8,Fish displayed many signs of poor condition,No,Old,
Simmons,1982,"Simmons, R. C. 1982. Effects of placer mining on Arctic grayling of interior Alaska. Master's thesis. University of Alaska. Fairbanks. Cited by Newcombe and Jensen (1996).",,1,Fairbanks,Alaska,USA,NA,Thymallus,arcticus,Grayling,Arctic,,Young of the Year,YY,JS,1250,48,8,8,Moderate damage to gill tissue,No,Old,
Simmons,1982,"Simmons, R. C. 1982. Effects of placer mining on Arctic grayling of interior Alaska. Master's thesis. University of Alaska. Fairbanks. Cited by Newcombe and Jensen (1996).",,1,Fairbanks,Alaska,USA,NA,Thymallus,arcticus,Grayling,Arctic,,Young of the Year,YY,JS,1388,96,8,8,Hyperplasia and hypertrophy of gill tissue,No,Old,
McLeay,1984,"McLeay, D. J.. G. L. Ennis, I. K. Birtwell. and G. F. Hartman. 1984. Effects on Arctic grayling (Thymallus arcticus) of prolonged exposure to Yukon placer mining sediment: laboratory study. Canadian Technical Report of Fisheries and Aquatic Sciences 1241. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,100,1008,9,9,Growth rate reduced,No,Old,
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,100,840,9,9,Fish responded less rapidly to drifting food,No,Old,
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,300,1008,9,9,Weight gain reduced,No,Old,
McLeay,1987,"McLeay, D. J. I. K. Birtwell, G. F. Hartman, and G. L. Ennis. 1987. Responses of Arctic grayling (Thymallus arcticus) to acute and prolonged exposure to Yukon placer mining sediment. Canadian Journal of Fisheries and Aquatic Sciences 44:658-673. Cited by Newcombe and Jensen (1996).",,1,Carcross,Yukon,Canada,Yukon River,Thymallus,arcticus,Grayling,Arctic,,Underyearling,U,JS,1000,1008,9,9,Weight gained reduced by 33%,No,Old,
